[100,  100] [10,  10] [250,  250]
[100.1,  100.1] [10.2,  10.2] [250,  250.5]
[100.19999999999999,  100.19999999999999] [10.399999999999999,  10.399999999999999] [250,  251.0]
[100.29999999999998,  100.29999999999998] [10.599999999999998,  10.599999999999998] [250,  251.5]
[100.39999999999998,  100.39999999999998] [10.799999999999997,  10.799999999999997] [250,  252.0]
[100.49999999999997,  100.49999999999997] [10.999999999999996,  10.999999999999996] [250,  252.5]
[100.59999999999997,  100.59999999999997] [11.199999999999996,  11.199999999999996] [250,  253.0]
[100.69999999999996,  100.69999999999996] [11.399999999999995,  11.399999999999995] [250,  253.5]
[100.79999999999995,  100.79999999999995] [11.599999999999994,  11.599999999999994] [250,  254.0]
[100.89999999999995,  100.89999999999995] [11.799999999999994,  11.799999999999994] [250,  254.5]
[100.99999999999994,  100.99999999999994] [11.999999999999993,  11.999999999999993] [250,  255.0]
[101.09999999999994,  101.09999999999994] [12.199999999999992,  12.199999999999992] [250,  255.5]
[101.19999999999993,  101.19999999999993] [12.399999999999991,  12.399999999999991] [250,  256.0]
[101.29999999999993,  101.29999999999993] [12.59999999999999,  12.59999999999999] [250,  256.5]
[101.39999999999992,  101.39999999999992] [12.79999999999999,  12.79999999999999] [250,  257.0]
[101.49999999999991,  101.49999999999991] [12.99999999999999,  12.99999999999999] [250,  257.5]
[101.59999999999991,  101.59999999999991] [13.199999999999989,  13.199999999999989] [250,  258.0]
[101.6999999999999,  101.6999999999999] [13.399999999999988,  13.399999999999988] [250,  258.5]
[101.7999999999999,  101.7999999999999] [13.599999999999987,  13.599999999999987] [250,  259.0]
[101.89999999999989,  101.89999999999989] [13.799999999999986,  13.799999999999986] [250,  259.5]
[101.99999999999989,  101.99999999999989] [13.999999999999986,  13.999999999999986] [250,  260.0]
[102.09999999999988,  102.09999999999988] [14.199999999999985,  14.199999999999985] [250,  260.5]
[102.19999999999987,  102.19999999999987] [14.399999999999984,  14.399999999999984] [250,  261.0]
[102.29999999999987,  102.29999999999987] [14.599999999999984,  14.599999999999984] [250,  261.5]
[102.39999999999986,  102.39999999999986] [14.799999999999983,  14.799999999999983] [250,  262.0]
[102.49999999999986,  102.49999999999986] [14.999999999999982,  14.999999999999982] [250,  262.5]
[102.59999999999985,  102.59999999999985] [15.199999999999982,  15.199999999999982] [250,  263.0]
[102.69999999999985,  102.69999999999985] [15.39999999999998,  15.39999999999998] [250,  263.5]
[102.79999999999984,  102.79999999999984] [15.59999999999998,  15.59999999999998] [250,  264.0]
[102.89999999999984,  102.89999999999984] [15.79999999999998,  15.79999999999998] [250,  264.5]
[102.99999999999983,  102.99999999999983] [15.999999999999979,  15.999999999999979] [250,  265.0]
[103.09999999999982,  103.09999999999982] [16.199999999999978,  16.199999999999978] [250,  265.5]
[103.19999999999982,  103.19999999999982] [16.399999999999977,  16.399999999999977] [250,  266.0]
[103.29999999999981,  103.29999999999981] [16.599999999999977,  16.599999999999977] [250,  266.5]
[103.3999999999998,  103.3999999999998] [16.799999999999976,  16.799999999999976] [250,  267.0]
[103.4999999999998,  103.4999999999998] [16.999999999999975,  16.999999999999975] [250,  267.5]
[103.5999999999998,  103.5999999999998] [17.199999999999974,  17.199999999999974] [250,  268.0]
[103.69999999999979,  103.69999999999979] [17.399999999999974,  17.399999999999974] [250,  268.5]
[103.79999999999978,  103.79999999999978] [17.599999999999973,  17.599999999999973] [250,  269.0]
